,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,id
92,001,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,At-Risk,All,61.0,,365.0,20586,18361,2225,13711.0,12984.0,728.0,6875.0,5377.0,1498.0,433Jefferson Middle School Academy
93,001,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,At-Risk,All,60.0,,262.0,24374,22112,2262,17499.0,16734.0,765.0,6875.0,5377.0,1498.0,435McKinley Middle School
94,001,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,At-Risk,All,55.0,,277.0,28544,25692,2852,21669.0,20314.0,1354.0,6875.0,5377.0,1498.0,436Ron Brown College Preparatory High School
95,001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,At-Risk,All,53.0,,1418.0,18505,15918,2587,11630.0,10540.0,1090.0,6875.0,5377.0,1498.0,442Columbia Heights Education Campus
96,001,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,At-Risk,All,81.0,,392.0,35043,31600,3444,28168.0,26222.0,1946.0,6875.0,5377.0,1498.0,450Anacostia High School
97,001,District of Columbia Public Schools,452,Ballou High School,DCPS,8,At-Risk,All,79.0,,746.0,24518,20915,3604,17643.0,15537.0,2106.0,6875.0,5377.0,1498.0,452Ballou High School
98,001,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,At-Risk,All,65.0,,831.0,24539,21840,2699,17664.0,16463.0,1201.0,6875.0,5377.0,1498.0,454Cardozo Education Campus
99,001,District of Columbia Public Schools,455,Coolidge High School,DCPS,4,At-Risk,All,68.0,,378.0,29588,26469,3118,22713.0,21092.0,1621.0,6875.0,5377.0,1498.0,455Coolidge High School
100,001,District of Columbia Public Schools,456,Roosevelt STAY High School,DCPS (Alternative),4,At-Risk,All,82.0,,846.0,14242,12553,1690,7367.0,7175.0,192.0,6875.0,5377.0,1498.0,456Roosevelt STAY High School
101,001,District of Columbia Public Schools,457,Eastern High School,DCPS,6,At-Risk,All,63.0,,820.0,21062,17896,3166,14187.0,12519.0,1668.0,6875.0,5377.0,1498.0,457Eastern High School
102,001,District of Columbia Public Schools,458,McKinley Technology High School,DCPS,5,At-Risk,All,34.0,,638.0,19797,16863,2934,12922.0,11485.0,1437.0,6875.0,5377.0,1498.0,458McKinley Technology High School
103,001,District of Columbia Public Schools,459,Roosevelt High School,DCPS,4,At-Risk,All,65.0,,767.0,23889,21281,2608,17014.0,15904.0,1110.0,6875.0,5377.0,1498.0,459Roosevelt High School
104,001,District of Columbia Public Schools,462,Ballou STAY High School,DCPS (Alternative),8,At-Risk,All,91.0,,712.0,14675,12970,1705,7800.0,7592.0,208.0,6875.0,5377.0,1498.0,462Ballou STAY High School
105,001,District of Columbia Public Schools,463,Woodrow Wilson High School,DCPS,3,At-Risk,All,22.0,,1895.0,16519,14619,1900,9644.0,9241.0,402.0,6875.0,5377.0,1498.0,463Woodrow Wilson High School
