,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Short Name,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,Highest Grade,Lowest Grade,Accountability Framework,Level
74,001,District of Columbia Public Schools,331,Van Ness Elementary School,DCPS,6,At-Risk,,33,,292,Van Ness Elementary School,19277,17388,1890,12402.0,12010.0,392.0,6875.0,5377.0,1498.0,3.0,-2.0,Elementary School,Elementary School
75,001,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,At-Risk,,82,,449,Walker-Jones Education Campus,21965,19675,2290,15090.0,14297.0,792.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
76,001,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,At-Risk,,82,,449,Walker-Jones Education Campus,21965,19675,2290,15090.0,14297.0,792.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
77,001,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),DCPS,6,At-Risk,,21,,460,Watkins Elementary School (Capitol Hill,15828,14055,1773,8953.0,8677.0,275.0,6875.0,5377.0,1498.0,5.0,1.0,Elementary School,Elementary School
78,001,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,At-Risk,,73,,353,Wheatley Education Campus,21913,19539,2374,15038.0,14162.0,876.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
79,001,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,At-Risk,,73,,353,Wheatley Education Campus,21913,19539,2374,15038.0,14162.0,876.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
80,001,District of Columbia Public Schools,336,West Education Campus,DCPS,4,At-Risk,,39,,377,West Education Campus,20445,18121,2324,13570.0,12743.0,826.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
81,001,District of Columbia Public Schools,336,West Education Campus,DCPS,4,At-Risk,,39,,377,West Education Campus,20445,18121,2324,13570.0,12743.0,826.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
82,001,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,At-Risk,,49,,410,Whittier Education Campus,22960,20806,2154,16085.0,15428.0,657.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
83,001,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,At-Risk,,49,,410,Whittier Education Campus,22960,20806,2154,16085.0,15428.0,657.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
84,001,District of Columbia Public Schools,339,J.O. Wilson Elementary School,DCPS,6,At-Risk,,46,,528,J.O. Wilson Elementary School,20579,18330,2249,13704.0,12952.0,752.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
85,001,District of Columbia Public Schools,344,King Elementary School,DCPS,8,At-Risk,,85,,343,King Elementary School,22881,19998,2882,16006.0,14621.0,1385.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
86,001,District of Columbia Public Schools,347,Brookland Middle School,DCPS,5,At-Risk,,53,,316,Brookland Middle School,20704,18427,2276,13829.0,13050.0,779.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
87,001,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,DCPS,4,At-Risk,,41,,500,Dorothy I. Height Elementary School,22120,19945,2175,15245.0,14568.0,678.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
88,001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,At-Risk,,18,,383,Capitol Hill Montessori School @,17471,15700,1771,10596.0,10322.0,273.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
89,001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,At-Risk,,18,,383,Capitol Hill Montessori School @,17471,15700,1771,10596.0,10322.0,273.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
90,001,District of Columbia Public Schools,370,Langley Elementary School,DCPS,5,At-Risk,,50,,335,Langley Elementary School,23538,21036,2502,16663.0,15658.0,1005.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
91,001,District of Columbia Public Schools,402,Benjamin Banneker High School,DCPS,1,At-Risk,,25,,488,Benjamin Banneker High School,17790,15622,2169,10915.0,10244.0,671.0,6875.0,5377.0,1498.0,12.0,9.0,High School,High School
92,001,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,At-Risk,,73,,430,Browne Education Campus,21557,19064,2493,14682.0,13686.0,996.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
93,001,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,At-Risk,,73,,430,Browne Education Campus,21557,19064,2493,14682.0,13686.0,996.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
94,001,District of Columbia Public Schools,405,Deal Middle School,DCPS,3,At-Risk,,7,,1549,Deal Middle School,15797,13948,1849,8922.0,8570.0,352.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
95,001,District of Columbia Public Schools,407,Eliot-Hine Middle School,DCPS,6,At-Risk,,60,,271,Eliot-Hine Middle School,27578,24672,2906,20703.0,19295.0,1408.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
96,001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,At-Risk,,15,,499,School Without Walls @ Francis-Stevens,20096,18373,1724,13221.0,12995.0,226.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
97,001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,At-Risk,,15,,499,School Without Walls @ Francis-Stevens,20096,18373,1724,13221.0,12995.0,226.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
98,001,District of Columbia Public Schools,413,Hart Middle School,DCPS,8,At-Risk,,82,,425,Hart Middle School,24910,22627,2283,18035.0,17250.0,786.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
99,001,District of Columbia Public Schools,416,Johnson Middle School,DCPS,8,At-Risk,,82,,322,Johnson Middle School,23628,21290,2339,16753.0,15912.0,841.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
100,001,District of Columbia Public Schools,417,Kramer Middle School,DCPS,8,At-Risk,,89,,257,Kramer Middle School,25586,22865,2721,18711.0,17488.0,1223.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
101,001,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,At-Risk,,40,,390,MacFarland Middle School,19925,17977,1948,13050.0,12599.0,451.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
102,001,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,At-Risk,,71,,564,Kelly Miller Middle School,20943,18845,2099,14068.0,13467.0,601.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
103,001,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,At-Risk,,79,,263,Sousa Middle School,22939,20334,2604,16064.0,14957.0,1107.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
104,001,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,At-Risk,,27,,463,Stuart-Hobson Middle School (Capitol Hill,18565,16202,2363,11690.0,10824.0,866.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
105,001,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,At-Risk,,61,,365,Jefferson Middle School Academy,20586,18361,2225,13711.0,12984.0,728.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
106,001,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,At-Risk,,60,,262,McKinley Middle School,24374,22112,2262,17499.0,16734.0,765.0,6875.0,5377.0,1498.0,8.0,6.0,Middle School,Middle School
107,001,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,At-Risk,,55,,277,Ron Brown College Preparatory High,28544,25692,2852,21669.0,20314.0,1354.0,6875.0,5377.0,1498.0,11.0,9.0,High School,High School
108,001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,At-Risk,,53,,1418,Columbia Heights Education Campus,18505,15918,2587,11630.0,10540.0,1090.0,6875.0,5377.0,1498.0,12.0,6.0,High School,High School
109,001,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,At-Risk,,53,,1418,Columbia Heights Education Campus,18505,15918,2587,11630.0,10540.0,1090.0,6875.0,5377.0,1498.0,12.0,6.0,Middle School,High School
110,001,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,At-Risk,,81,,392,Anacostia High School,35043,31600,3444,28168.0,26222.0,1946.0,6875.0,5377.0,1498.0,12.0,9.0,High School,High School
